Plate,BusCoach,City
LK13CYV,B,Aberdeen
SG16UWJ,B,Aberdeen
SV14HZE,B,Aberdeen
SV64BPZ,B,Aberdeen
SV55FKJ,C,Aberdeen
KX61GDU,C,Aberdeen
SV08DHO,C,Aberdeen
Y701RSA,B,Aberdeen
SN14FDY,B,Aberdeen
SV05DXW,B,Aberdeen
ST63KOE,B,Aberdeen
SV05DXE,B,Aberdeen
DK12BXA,B,Aberdeen
SP14AYY,B,Aberdeen
SP12TXL,B,Aberdeen
SN66WZK,B,Aberdeen
WX54ZHN,C,Aberdeen
D18CTC,C,Aberdeen
DK65ALO,B,Aberdeen
YX54ATY,C,Aberdeen
CV55AOO,C,Aberdeen
SN14FDP,B,Aberdeen
SN14FET,B,Aberdeen
YN54NYV,C,Aberdeen
SN09CCE,B,Aberdeen
PX07HBF,B,Aberdeen
DK65ALU,B,Aberdeen
R5MCH,B,Aberdeen
FJ13GFG,B,Aberdeen
SV54CFY,B,Aberdeen
PX07HBE,B,Aberdeen
SV55FJX,C,Aberdeen
HSV725,C,Aberdeen
SL14DCZ,B,Aberdeen
D20CTC,C,Aberdeen
SV12CZR,B,Aberdeen
SN17BKX,C,Aberdeen
SN13CMV,B,Aberdeen
SL14DBZ,B,Aberdeen
SN16OMR,B,Aberdeen
KX61GEK,C,Aberdeen
SV07EHF,B,Aberdeen
SN13CNK,B,Aberdeen
SL14DCX,B,Aberdeen
SN16OMX,B,Aberdeen
SN13CNJ,B,Aberdeen
Y629RSA,B,Aberdeen
KX61GEJ,C,Aberdeen
BX54VNV,B,Aberdeen
SN16OMW,B,Aberdeen
DSV943,B,Aberdeen
SN13CMY,B,Aberdeen
SV14DMU,B,Aberdeen
CN04XCK,B,Aberdeen
KX56JZL,C,Aberdeen
SN16OMP,B,Aberdeen
SN13CMU,B,Aberdeen
5397LJ,C,Aberdeen
448GWL,C,Aberdeen
SN13CNA,B,Aberdeen
SN16OMV,B,Aberdeen
SN09CBU,B,Aberdeen
BX11HFT,C,Aberdeen
KX61GEU,C,Aberdeen
SN13CMX,B,Aberdeen
SN13CNV,B,Aberdeen
SN16OMT,B,Aberdeen
SV12CZP,B,Aberdeen
SV08FHD,B,Aberdeen
SN13CNO,B,Aberdeen
SN13CMZ,B,Aberdeen
SV11FFX,C,Aberdeen
SN16OMU,B,Aberdeen
FXZ8492,C,Aberdeen
DK65AJU,B,Aberdeen
SN16OMS,B,Aberdeen
SV58BNA,B,Aberdeen
Y627RSA,B,Aberdeen
SN13CNF,B,Aberdeen
SV06FTJ,B,Aberdeen
KX58NBO,C,Aberdeen
SN13COH,B,Aberdeen
SK63ATX,B,Aberdeen
SN13CNU,B,Aberdeen
Y639RSA,B,Aberdeen
L77CTC,C,Aberdeen
SN13CMO,B,Aberdeen
KX61GFA,C,Aberdeen
SV09EGE,C,Aberdeen
SN16OMO,B,Aberdeen
SN13CNE,B,Aberdeen
SV55FJY,C,Aberdeen
SN13CNC,B,Aberdeen
SN57EHC,B,Aberdeen
SV14FZD,B,Aberdeen
9637EL,C,Aberdeen
SP59APF,B,Aberdeen
Y632RSA,B,Aberdeen
SV61CUK,C,Aberdeen
FE63ZBW,B,Aberdeen
SV55FJU,C,Aberdeen
SP62CVB,B,Aberdeen
SK63LZL,B,Aberdeen
SF08GTY,C,Aberdeen
SK63ATV,B,Aberdeen
SV09EGK,C,Aberdeen
KX58NCC,C,Aberdeen
SL14DCV,B,Aberdeen
N447XVA,C,Aberdeen
S901CCD,C,Aberdeen
SV57AKK,C,Aberdeen
SV61CUC,C,Aberdeen
SL14DBX,B,Aberdeen
SV12CZL,B,Aberdeen
SV55FJP,C,Aberdeen
SP14AYX,B,Aberdeen
X624NSS,B,Aberdeen
SY05DRX,B,Aberdeen
NIW565,C,Aberdeen
YD63UYU,B,Aberdeen
MIL2430,C,Aberdeen
SN14FDU,B,Aberdeen
SP57CNK,B,Aberdeen
OU04NJX,B,Aberdeen
SN13CPE,B,Aberdeen
SV12CZK,B,Aberdeen
KX61GFE,C,Aberdeen
KX58NBZ,C,Aberdeen
SV61CUJ,C,Aberdeen
SV09BHL,C,Aberdeen
SV56BVU,C,Aberdeen
PX59CVC,C,Aberdeen
SP59APK,B,Aberdeen
WA54LSX,C,Aberdeen
YN06CYJ,C,Aberdeen
DK65AHY,C,Aberdeen
DG16JXA,B,Aberdeen
DK12BXR,B,Aberdeen
SV56BWA,B,Aberdeen
SV06FTF,C,Aberdeen
SY07CVA,B,Aberdeen
N590GBW,C,Aberdeen
SV55FJO,C,Aberdeen
SV55FKH,C,Aberdeen
SV08DHX,C,Aberdeen
YG17SUY,C,Aberdeen
SN62GXG,C,Aberdeen
SF04WMY,C,Aberdeen
SV08FXR,B,Aberdeen
SV08FXT,B,Aberdeen
SV55FKA,C,Aberdeen
SV08FXU,B,Aberdeen
SV08FYB,B,Aberdeen
SV08FXP,B,Aberdeen
SN13AOP,C,Aberdeen
SV55EES,C,Aberdeen
YN54APF,C,Aberdeen
WK15YCX,B,Aberdeen
SV08FXX,B,Aberdeen
WA05UNF,C,Aberdeen
KX61GDZ,C,Aberdeen
SV08FHG,B,Aberdeen
SV08FXZ,B,Aberdeen
